id,title,price,currency,square footage,rooms,floor,district
66326098,Skwer Harmonia,,,,,,Podgórze
66315655,"Chełmońskiego ogród 130 m2, 2 pok. 52 m2, taras",960000.0,PLN,52.5,TWO,GROUND,Prądnik Biały
66793226,Nowe nowoczesne gotowe klimatyzacja bez2%pcc garaż,1357000.0,PLN,74.0,THREE,FIRST,Dębniki
67365400,Chełmońskiego 79m 4 pok. dwa poziomy garaż,1130000.0,PLN,79.73,FOUR,FIRST,Prądnik Biały
67829970,Mieszkanie 3 Pokoje 57m2 | Górka Narodowa | Bezpośrednio | Bez PCC,826000.0,PLN,57.0,THREE,FOURTH,Prądnik Biały
67482770,Badurskiego 7,,,,,,Podgórze Duchackie
67591556,Komfortowe 2-pokojowe mieszkanie z balkonem !,748999.0,PLN,48.63,TWO,SECOND,Podgórze Duchackie
67722792,Widok na Wawel | Wykończone | klimatyzacja,1199000.0,PLN,68.1,THREE,THIRD,Dębniki
67858451,Po remoncie 3 pok Stara Huta,799999.0,PLN,57.0,THREE,THIRD,Nowa Huta
67756107,"Na sprzedaż 2 pokojowe mieszkanie, Wysłouchów 30a",524000.0,PLN,35.0,TWO,FOURTH,Podgórze Duchackie
67858449,"4 pokoje, Olsza, balkon, Mpec",844000.0,PLN,65.0,FOUR,FIRST,Prądnik Czerwony
67858428,Nowe mieszkanie w odrestaurowanej kamienicy,700000.0,PLN,25.0,ONE,FIRST,Stare Miasto
67858426,"Bronowice, mieszkanie dwukondygnacyjne, pow260 m2",4237740.0,PLN,260.0,EIGHT,SECOND,Bronowice
67858418,Mieszkanie w dzielnicy Kazimierz / Stylish one-bedroom apartment,1109430.0,PLN,52.83,TWO,FOURTH,Stare Miasto
66288264,Tarasy Moderno,,,,,,Dębniki
67782607,2 pok./40 m2 /balkon/ Kurdwanów/ ul. Witosa,610000.0,PLN,40.1,TWO,NINTH,Podgórze Duchackie
67858366,Gotowe | 3 pokoje | ogródek | bez prowizji i pic,699000.0,PLN,61.17,THREE,GROUND,Wzgórza Krzesławickie
67858342,2 pokoje na Salwatorze | garaż | duży potencjał,756000.0,PLN,38.5,TWO,SECOND,Zwierzyniec
67787403,Dwa balkony | Świetny układ | Centrum,1690000.0,PLN,104.0,FOUR,SECOND,Stare Miasto
67832420,3-pok os. Tysiąclecia balkon,575000.0,PLN,48.0,THREE,SECOND,Mistrzejowice
67771793,Mieszkanie 62m + 2 miejsca postojowe + ogródek,689000.0,PLN,62.41,THREE,GROUND,Nowa Huta
66289188,Novy Mateczny,,,,,,Podgórze
67771927,Mieszkanie 123 + 2 miejsca postojowe w cenie + ogródek w cenie,989000.0,PLN,123.15,FIVE,FIRST,Nowa Huta
67858263,"2 pokojowe, 40m2, Krowodrza ul. Galla",699000.0,PLN,39.5,TWO,GROUND,Krowodrza
66344021,2-pokojowe mieszkanie 42m2 + balkon,,,42.54,TWO,FOURTH,Bieżanów-Prokocim
67834441,Młyny Mogilska NOHO I 3 pokoje I Dwustronne I Gotowe,928720.0,PLN,48.88,THREE,SECOND,Prądnik Czerwony
67858255,Po remoncie | blisko tramwaj | zielona okolica,750000.0,PLN,48.04,TWO,FIRST,Podgórze Duchackie
67499368,2 pokoje/ do remontu / Przy Wiśle! / do negocjacji,459000.0,PLN,34.59,TWO,SECOND,Dębniki
67756185,Nowe trzypokojowe dla rodziny ! / duży taras,950000.0,PLN,58.6,THREE,SECOND,Dębniki
67806937,"3pok,Rusznikarska,Krowodrza,Pilne,b.ładne,loggia.Zarezerwuj Koniecznie",690000.0,PLN,46.0,THREE,FIRST,Prądnik Biały
67350457,Drago,,,,,,Prądnik Biały
67825662,"Cudne Widoki,z Klimatem,Witosa.40m.pokój,gabinet,holl,kuchnia,łazienka",610000.0,PLN,39.99,TWO,NINTH,Podgórze Duchackie
67858217,Mieszkanie w atrakcyjnej lokalizacji,819000.0,PLN,52.74,THREE,GROUND,Czyżyny
67858215,Mieszkanie w wysokim standardzie,985000.0,PLN,65.0,THREE,GROUND,Czyżyny
66349230,3-pokojowe mieszkanie 60m2 + balkon Bez Prowizji,1436000.0,PLN,60.96,THREE,SEVENTH,Podgórze
96785850200067,"Mieszkanie 2pokojowe z ładnym widokiem i piwnicą - os. Piastów,",699000.0,PLN,44.0,TWO,EIGHTH,Mistrzejowice
66349196,2-pokojowe mieszkanie 37m2 + balkon Bez Prowizji,801000.0,PLN,37.33,TWO,SECOND,Podgórze
66995676,Łepkowskiego 11,,,,,,Prądnik Czerwony
